# source: IEA-CCUS-2026
# description: Custom projections based on {{source}} with details documented in the description of the `Feasibility Concern|Carbon Capture and Storage` criterion.
variable,year,region,unit,value
Carbon Capture|Geological Storage,2030,JAM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,JEY,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,JOR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,JPN,Mt CO2/yr,2.3716
Carbon Capture|Geological Storage,2030,KAZ,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,KEN,Mt CO2/yr,1.4014
Carbon Capture|Geological Storage,2030,KGZ,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,KHM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,KIR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,KNA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,KOR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,KWT,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,LAO,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,LBN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,LBR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,LBY,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,LCA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,LIE,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,LKA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,LSO,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,LTU,Mt CO2/yr,0.2716
Carbon Capture|Geological Storage,2030,LUX,Mt CO2/yr,0.1848
Carbon Capture|Geological Storage,2030,LVA,Mt CO2/yr,0.1526
Carbon Capture|Geological Storage,2030,MAC,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MAF,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MAR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MCO,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MDA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MDG,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MDV,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MEX,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MHL,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MKD,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MLI,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MLT,Mt CO2/yr,0.063
Carbon Capture|Geological Storage,2030,MMR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MNE,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MNG,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MNP,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MOZ,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MRT,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MSR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MTQ,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MUS,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MWI,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,MYS,Mt CO2/yr,0.4284
Carbon Capture|Geological Storage,2030,MYT,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,NAM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,NCL,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,NER,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,NFK,Mt CO2/yr,0.0
