# source: LUH2-GCB-2025
# description: Based on {{source}}.
variable,year,region,unit,value
Land Cover,2020,MLT,million ha,0.0293893060993853
Land Cover,2020,MMR,million ha,66.42551649245414
Land Cover,2020,MNE,million ha,1.3697085057602112
Land Cover,2020,MNG,million ha,156.0522066344237
Land Cover,2020,MOZ,million ha,79.03796750286247
Land Cover,2020,MRT,million ha,103.89262456405204
Land Cover,2020,MWI,million ha,11.980851609500826
Land Cover,2020,MYS,million ha,32.80265558771372
Land Cover,2020,NAM,million ha,82.44453380218314
Land Cover,2020,NER,million ha,118.51377236376464
Land Cover,2020,NGA,million ha,91.11051806232992
Land Cover,2020,NIC,million ha,12.895396551655494
Land Cover,2020,NLD,million ha,3.51555154371925
Land Cover,2020,NOR,million ha,37.07263124344133
Land Cover,2020,NPL,million ha,14.730130831149037
Land Cover,2020,NZL,million ha,26.261458420949776
Land Cover,2020,OMN,million ha,31.124736308374885
Land Cover,2020,PAK,million ha,87.3207396468259
Land Cover,2020,PAN,million ha,7.458751900561953
Land Cover,2020,PER,million ha,129.42078199438183
Land Cover,2020,PHL,million ha,28.912620305117173
Land Cover,2020,PNG,million ha,46.24517244904572
Land Cover,2020,POL,million ha,31.18380559515409
Land Cover,2020,PRT,million ha,8.84425891285167
Land Cover,2020,PRY,million ha,40.08675624648364
Land Cover,2020,QAT,million ha,1.108894043862939
Land Cover,2020,ROU,million ha,23.574561063323728
Land Cover,2020,RUS,million ha,1680.3527411522928
Land Cover,2020,RWA,million ha,2.542226941237633
Land Cover,2020,SAU,million ha,192.48040409767532
Land Cover,2020,SDN,million ha,185.28847919720607
Land Cover,2020,SEN,million ha,19.6744115093311
Land Cover,2020,SLB,million ha,2.591333349161244
Land Cover,2020,SLE,million ha,7.196954952735978
Land Cover,2020,SLV,million ha,2.057498797540615
Land Cover,2020,SRB,million ha,7.742567715060346
Land Cover,2020,STP,million ha,0.1006064975773981
Land Cover,2020,SUR,million ha,14.581843991432388
Land Cover,2020,SVK,million ha,4.833896308624353
Land Cover,2020,SVN,million ha,2.025896880458881
Land Cover,2020,SWE,million ha,44.1679198456344
Land Cover,2020,SWZ,million ha,1.7138388188946048
Land Cover,2020,TCD,million ha,127.07404429374785
Land Cover,2020,TGO,million ha,5.708204733731644
Land Cover,2020,THA,million ha,51.54577057249507
Land Cover,2020,TJK,million ha,14.211906426667896
Land Cover,2020,TKM,million ha,46.94874888322649
Land Cover,2020,TLS,million ha,1.503073671408908
Land Cover,2020,TTO,million ha,0.5088272273837781
Land Cover,2020,TUN,million ha,15.638536574164394
Land Cover,2020,TUR,million ha,77.85886057709149
Land Cover,2020,TZA,million ha,94.52900939809828
Land Cover,2020,UGA,million ha,24.29384776015637
Land Cover,2020,UKR,million ha,59.653691366935085
Land Cover,2020,URY,million ha,17.71609393070099
Land Cover,2020,USA,million ha,941.7313064401072
Land Cover,2020,UZB,million ha,44.71955630889676
Land Cover,2020,VCT,million ha,0.0343613336322033
Land Cover,2020,VNM,million ha,32.892028088145125
Land Cover,2020,VUT,million ha,1.1239953864264154
Land Cover,2020,World,million ha,12837.313613616054
Land Cover,2020,ZAF,million ha,122.09322088571774
Land Cover,2020,ZMB,million ha,75.47121362871604
Land Cover,2020,ZWE,million ha,39.0522180786576
Land Cover|Cropland,2010,AFG,million ha,7.899128992929344
Land Cover|Cropland,2010,AGO,million ha,4.330153406081125
Land Cover|Cropland,2010,ALB,million ha,0.6441034723665461
Land Cover|Cropland,2010,ARE,million ha,0.082012715585086
Land Cover|Cropland,2010,ARG,million ha,38.88148303036913
Land Cover|Cropland,2010,ARM,million ha,0.5074566138048268
Land Cover|Cropland,2010,ATG,million ha,0.0011029122330441
Land Cover|Cropland,2010,AUS,million ha,25.56578152110175
Land Cover|Cropland,2010,AUT,million ha,1.4155371186268046
Land Cover|Cropland,2010,AZE,million ha,2.082057444848207
Land Cover|Cropland,2010,BDI,million ha,1.3231342544954832
Land Cover|Cropland,2010,BEL,million ha,0.8639047786027779
Land Cover|Cropland,2010,BEN,million ha,3.0391797268896945
Land Cover|Cropland,2010,BFA,million ha,6.691157053508514
Land Cover|Cropland,2010,BGD,million ha,8.268633932735382
Land Cover|Cropland,2010,BGR,million ha,3.4726069415534875
Land Cover|Cropland,2010,BHR,million ha,0.0011456590441713
Land Cover|Cropland,2010,BHS,million ha,0.0035712105104213
Land Cover|Cropland,2010,BIH,million ha,1.0896245013320538
Land Cover|Cropland,2010,BLR,million ha,5.709253779185661
Land Cover|Cropland,2010,BLZ,million ha,0.111217964717832
Land Cover|Cropland,2010,BOL,million ha,4.665555640466717
Land Cover|Cropland,2010,BRA,million ha,47.46048755545552
Land Cover|Cropland,2010,BRB,million ha,0.0033232167918253
Land Cover|Cropland,2010,BTN,million ha,0.1496014145153956
Land Cover|Cropland,2010,BWA,million ha,0.2808815573072619
Land Cover|Cropland,2010,CAF,million ha,1.814129593167773
Land Cover|Cropland,2010,CAN,million ha,37.66756234181823
Land Cover|Cropland,2010,CHE,million ha,0.4349253075751371
Land Cover|Cropland,2010,CHL,million ha,1.8003188689084926
Land Cover|Cropland,2010,CHN,million ha,132.59344853050789
Land Cover|Cropland,2010,CIV,million ha,7.541370169967469
Land Cover|Cropland,2010,CMR,million ha,7.440581082625711
Land Cover|Cropland,2010,COD,million ha,10.276398067849955
Land Cover|Cropland,2010,COG,million ha,0.6424554234963864
Land Cover|Cropland,2010,COL,million ha,3.326847264168467
Land Cover|Cropland,2010,COM,million ha,0.0430327880083007
Land Cover|Cropland,2010,CRI,million ha,0.5099442300832374
Land Cover|Cropland,2010,CYP,million ha,0.0800651582132902
Land Cover|Cropland,2010,CZE,million ha,2.607533351326762
Land Cover|Cropland,2010,DEU,million ha,11.86922945184338
Land Cover|Cropland,2010,DJI,million ha,0.0019947227988921
