# source: EI-2023
# description: Data from {{source}} linearly extrapolated to 2025.
variable,year,region,unit,value
Primary Energy|Gas,2025,CRI,EJ/yr,0.0313
Primary Energy|Gas,2025,CUB,EJ/yr,0.06620000000000001
Primary Energy|Gas,2025,CUW,EJ/yr,0.0
Primary Energy|Gas,2025,CXR,EJ/yr,0.0
Primary Energy|Gas,2025,CYM,EJ/yr,0.0007
Primary Energy|Gas,2025,CYP,EJ/yr,0.0
Primary Energy|Gas,2025,CZE,EJ/yr,0.19210000000000002
Primary Energy|Gas,2025,DEU,EJ/yr,2.5885000000000002
Primary Energy|Gas,2025,DJI,EJ/yr,0.0022
Primary Energy|Gas,2025,DMA,EJ/yr,0.0002
Primary Energy|Gas,2025,DNK,EJ/yr,0.0543
Primary Energy|Gas,2025,DOM,EJ/yr,0.04880000000000001
Primary Energy|Gas,2025,DZA,EJ/yr,1.3757000000000001
Primary Energy|Gas,2025,ECU,EJ/yr,0.014799999999999997
Primary Energy|Gas,2025,EGY,EJ/yr,2.1222000000000003
Primary Energy|Gas,2025,ERI,EJ/yr,0.004699999999999999
Primary Energy|Gas,2025,ESH,EJ/yr,0.0
Primary Energy|Gas,2025,ESP,EJ/yr,0.7898999999999998
Primary Energy|Gas,2025,EST,EJ/yr,0.010899999999999996
Primary Energy|Gas,2025,ETH,EJ/yr,0.21750000000000003
Primary Energy|Gas,2025,FIN,EJ/yr,0.04799999999999999
Primary Energy|Gas,2025,FJI,EJ/yr,0.0019
Primary Energy|Gas,2025,FLK,EJ/yr,0.0
Primary Energy|Gas,2025,FRA,EJ/yr,0.8945000000000003
Primary Energy|Gas,2025,FRO,EJ/yr,0.0
Primary Energy|Gas,2025,FSM,EJ/yr,0.0
Primary Energy|Gas,2025,GAB,EJ/yr,0.026399999999999993
Primary Energy|Gas,2025,GBR,EJ/yr,1.7536999999999998
Primary Energy|Gas,2025,GEO,EJ/yr,0.038700000000000005
Primary Energy|Gas,2025,GGY,EJ/yr,0.0
Primary Energy|Gas,2025,GHA,EJ/yr,0.052
Primary Energy|Gas,2025,GIB,EJ/yr,0.0322
Primary Energy|Gas,2025,GIN,EJ/yr,0.0221
Primary Energy|Gas,2025,GLP,EJ/yr,0.0024
Primary Energy|Gas,2025,GMB,EJ/yr,0.0042
Primary Energy|Gas,2025,GNB,EJ/yr,0.0032
Primary Energy|Gas,2025,GNQ,EJ/yr,0.0086
Primary Energy|Gas,2025,GRC,EJ/yr,0.13520000000000001
Primary Energy|Gas,2025,GRD,EJ/yr,0.0004999999999999999
Primary Energy|Gas,2025,GRL,EJ/yr,0.0
Primary Energy|Gas,2025,GTM,EJ/yr,0.0744
Primary Energy|Gas,2025,GUF,EJ/yr,0.001
Primary Energy|Gas,2025,GUM,EJ/yr,0.0
Primary Energy|Gas,2025,GUY,EJ/yr,0.0052
Primary Energy|Gas,2025,HKG,EJ/yr,0.19709999999999994
Primary Energy|Gas,2025,HMD,EJ/yr,0.0
Primary Energy|Gas,2025,HND,EJ/yr,0.03320000000000001
Primary Energy|Gas,2025,HRV,EJ/yr,0.09139999999999998
Primary Energy|Gas,2025,HTI,EJ/yr,0.0311
